X,Y,OBJECTID,FECHA_INCIDENTE,LATITUD,LONGITUD,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD
-74.065503,4.63773200015232,5173,2025/01/20 00:00:00+00,4.637732,-74.065503,"Carrera 13 con Calle 50A, sentido n?s",Chapinero,Choque simple,Camión (1) - Taxi (1)
-74.1001764,4.68035670015373,5174,2025/01/20 00:00:00+00,4.6803567,-74.1001764,"Av Calle 80 con Av Boyacá, sentido or?occ",Engativá,Varado,Bus SITP (1)
-74.0685614,4.72967160015535,5175,2025/01/20 00:00:00+00,4.7296716,-74.0685614,"Av Boyacá con Calle 138, sentido s?n",Suba,Choque simple,Camión (1) - Taxi (1)
-74.1155229999999,4.59222930015085,5176,2025/01/20 00:00:00+00,4.5922293,-74.115523,Transversal 52 con Calle 30 sur,Antonio Nariño,Choque simple,Camioneta (1) - Camión (1)
-74.0570041,4.75719920015624,5177,2025/01/20 00:00:00+00,4.7571992,-74.0570041,Carrera 58 con Calle 174,Suba,Choque simple,Automóvil particular (2)
-74.0576690999999,4.65703320015298,5178,2025/01/20 00:00:00+00,4.6570332,-74.0576691,"Av Chile (Calle 72) con Av Ciudad de Cali, sentido or?occ",Engativá,Choque objeto fijo con lesionado,Automóvil particular (1) - Poste (1) - Conductor lesionado (1)
-74.1394142,4.65108250015275,5179,2025/01/20 00:00:00+00,4.6510825,-74.1394142,Calle 81A sur con Av Guayacanes,Bosa,Autolesionado,Motociclista lesionado (1)
-74.1351657,4.66027400015309,5180,2025/01/20 00:00:00+00,4.660274,-74.1351657,Av Ciudad de Cali con Av Chile (Calle 72),Engativá,Falla semafórica,Intersección semafórica (1)
-74.1111481,4.68764300015395,5181,2025/01/20 00:00:00+00,4.687643,-74.1111481,"Av Ciudad de Cali con Calle 65, sentido n?s",Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1509507,4.67573690015358,5182,2025/01/20 00:00:00+00,4.6757369,-74.1509507,"Av Centenario (Calle 13) con Carrera 106, sentido or?occ",Fontibón,Autolesionado,Motociclista lesionado (1)
-74.1103098999999,4.62221580015183,5183,2025/01/20 00:00:00+00,4.6222158,-74.1103099,"Av Américas con Carrera 50, sentido or?occ",Puente Aranda,Atropello,Motociclista lesionado (1) - Peatón lesionado (1)
-74.0720919999999,4.71098860015473,5184,2025/01/20 00:00:00+00,4.7109886,-74.072092,"Av Américas con Carrera 32, sentido or?occ",Teusaquillo,Choque simple,Tractocamión (1) - Automóvil particular (1)
-74.1155229999999,4.59222930015085,5185,2025/01/20 00:00:00+00,4.5922293,-74.115523,"Transversal 52 con Calle 30 sur, sentido s?n",Puente Aranda,Choque simple,Camión (1) - Automóvil particular (1)
-74.0631403,4.64640370015263,5186,2025/01/20 00:00:00+00,4.6464037,-74.0631403,Calle 60 con Carrera 9A,Chapinero,Atropello,Bicicleta (1) - Peatón lesionado (1)
-74.0851077,4.66990000015337,5187,2025/01/20 00:00:00+00,4.6699,-74.0851077,Calle 67 con Carrera 17,Barrios Unidos,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1313711999999,4.60924210015143,5188,2025/01/20 00:00:00+00,4.6092421,-74.1313712,Calle 30 sur con Carrera 68C,Kennedy,Choque simple,Camión (1) - Automóvil particular (1)
-74.1580393,4.62753960015199,5189,2025/01/20 00:00:00+00,4.6275396,-74.1580393,Av Agoberto Mejía con Calle 38 sur,Kennedy,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1430245,4.55984820014978,5190,2025/01/20 00:00:00+00,4.5598482,-74.1430245,Calle 62B sur con Carrera 19B,Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)
-74.1537954999999,4.66044850015305,5191,2025/01/20 00:00:00+00,4.6604485,-74.1537955,Carrera 98 con Calle 2,Kennedy,Caida de ocupante,Bus / buseta (1) - Pasajero lesionado (1)
-74.1689961,4.63899960015236,5192,2025/01/20 00:00:00+00,4.6389996,-74.1689961,Calle 81A sur con Carrera 89B,Bosa,Autolesionado,Motociclista lesionado (1)
-74.0657884,4.65226970015279,5193,2025/01/20 00:00:00+00,4.6522697,-74.0657884,Carrera 122 con Calle 64,Engativá,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1)
-74.0697999,4.62139080015178,5194,2025/01/20 00:00:00+00,4.6213908,-74.0697999,Av Circunvalar con Calle 34,Santa Fe,Choque con lesionado,Camioneta (1) - Motociclista lesionado (1)
-74.2079909999999,4.62614960015199,5195,2025/01/20 00:00:00+00,4.6261496,-74.207991,Calle 80 bis sur con Carrera 94,Bosa,Choque simple,Bus SITP (1) - Automóvil particular (1) - Bicitaxi (1)
-74.12929,4.74459410015579,5196,2025/01/20 00:00:00+00,4.7445941,-74.12929,Carrera 159A con Calle 138,Suba,Autolesionado,Ciclista lesionado (1)
-74.1420421,4.71477590015486,5197,2025/01/20 00:00:00+00,4.7147759,-74.1420421,"Calle 64 con Carrera 122A, sentido or?occ",Engativá,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1)
-74.1806756999999,4.63535710015223,5198,2025/01/20 00:00:00+00,4.6353571,-74.1806757,"Carrera 90B con Calle 49 sur, sentido n?s",Kennedy,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1351657,4.66027400015309,5199,2025/01/20 00:00:00+00,4.660274,-74.1351657,"Av Ciudad de Cali con Av Chile (Calle 72), sentido n?s",Engativá,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.0421370999999,4.77530350015683,5200,2025/01/20 00:00:00+00,4.7753035,-74.0421371,Autopista Norte con Calle 197,Usaquén,Choque simple,Bus SITP (1) - Camioneta (1)
-74.0609578,4.68711830015396,5201,2025/01/20 00:00:00+00,4.6871183,-74.0609578,"Calle 99 con Carrera 49, sentido or?occ",Barrios Unidos,Choque simple,Camión (1) - Automóvil particular (1)
-74.163828,4.61483660015158,5202,2025/01/20 00:00:00+00,4.6148366,-74.163828,"Av Primero de Mayo con Calle 44A sur, sentido or?occ",Kennedy,Choque simple,Bus / buseta (1) - Automóvil particular (1)
-74.1080997999999,4.66673310015327,5203,2025/01/20 00:00:00+00,4.6667331,-74.1080998,Calle 19 con Carrera 71,Fontibón,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.1368143,4.60968800015143,5204,2025/01/20 00:00:00+00,4.609688,-74.1368143,Calle 36 sur con Carrera 68M,Kennedy,Choque simple,Automóvil particular (1) - Motocicleta (1)
-74.0901251,4.72487830015518,5205,2025/01/20 00:00:00+00,4.7248783,-74.0901251,Calle 129B con Carrera 92,Suba,Choque con lesionado,Motocicleta (1) - Motociclista lesionado (1)
-74.0606324999999,4.64624220015264,5206,2025/01/20 00:00:00+00,4.6462422,-74.0606325,"Calle 61 con Av Carrera 7, sentido s?n",Chapinero,Atropello,Taxi (1) - Conductor lesionado (1) - Peatón lesionado (1)
-74.1004298999999,4.65714560015295,5207,2025/01/20 00:00:00+00,4.6571456,-74.1004299,"Calle 53 con Av Carrera 68, sentido s?n",Teusaquillo,Choque simple,Camión (1) - Camioneta (1)
-74.1238941,4.60413770015121,5208,2025/01/20 00:00:00+00,4.6041377,-74.1238941,"Av Primero de Mayo con Carrera 28, sentido or?occ",Antonio Nariño,Choque con lesionado,Motociclista lesionado (2)
-74.0900832,4.61642780015165,5209,2025/01/20 00:00:00+00,4.6164278,-74.0900832,"NQS con Calle 17, sentido s?n",Los Mártires,Choque simple,Camión (1) - Camioneta (1)
-74.109178,4.62910180015207,5210,2025/01/20 00:00:00+00,4.6291018,-74.109178,"Av Centenario (Calle 13) con Av Boyacá, sentido occ?or",Kennedy,Autolesionado,Motociclista lesionado (1)
-74.1238941,4.60413770015121,5211,2025/01/20 00:00:00+00,4.6041377,-74.1238941,"Av Primero de Mayo con Carrera 50, sentido occ?or",Puente Aranda,Choque simple,Bus SITP (1) - Automóvil particular (1)
-74.1754066999999,4.59657400015097,5212,2025/01/20 00:00:00+00,4.596574,-74.1754067,"Autopista Sur con Carrera 75, sentido occ?or",Ciudad Bolívar,Choque simple,Tractocamión (1) - Automóvil particular (1)
-74.1384204,4.55792010014973,5213,2025/01/20 00:00:00+00,4.5579201,-74.1384204,"Av Boyacá con Carrera 18 bis, sentido or?occ",Ciudad Bolívar,Choque simple,
-74.1065513,4.59171560015083,5214,2025/01/20 00:00:00+00,4.5917156,-74.1065513,Carrera 27 con Calle 17 sur,Antonio Nariño,Choque simple,Volqueta (1) - Automóvil particular (1)
-74.1291343,4.62694270015196,5216,2025/01/20 00:00:00+00,4.6269427,-74.1291343,"Carrera 69B con Calle 5, sentido n?s",Kennedy,Choque simple,Taxi (1) - Motocicleta (1)
-74.0394438,4.70374800015451,5217,2025/01/20 00:00:00+00,4.703748,-74.0394438,"Calle 127 con Carrera 13, sentido occ?or",Usaquén,Choque simple,Taxi (1) - Automóvil particular (1)
-74.0288345,4.69957250015434,5218,2025/01/20 00:00:00+00,4.6995725,-74.0288345,Av Carrera 7 con Calle 124,Usaquén,Choque simple,Taxi (1) - Motocicleta (1)
-74.1014824,4.62294980015188,5219,2025/01/20 00:00:00+00,4.6229498,-74.1014824,Calle 13 con NQS,Puente Aranda,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1)
-74.1652933,4.62701580015197,5220,2025/01/20 00:00:00+00,4.6270158,-74.1652933,Calle 42 sur con Carrera 81D,Kennedy,Choque con lesionado,Motocicleta (2) - Conductor lesionado (2)
-74.077207,4.65848300015301,5221,2025/01/20 00:00:00+00,4.658483,-74.077207,"NQS con Calle 64, sentido s?n",Barrios Unidos,Varado,Volqueta (1)
-74.1047566,4.67734400015363,5222,2025/01/20 00:00:00+00,4.677344,-74.1047566,Calle 63F con Carrera 73A,Engativá,Atropello,Automóvil particular (1) - Peatón lesionado (1)
-74.1830079,4.60948710015139,5223,2025/01/20 00:00:00+00,4.6094871,-74.1830079,Calle 60 sur con Carrera 80D,Bosa,Choque simple,Vehículo escolar (1) - Automóvil particular (1) - Motocicleta (1)
