X,Y,OBJECTID,Dirección_incidente,Localidad,Tipo_de_incidente,Actores_viales_implicados,Afectación_personas,COORDENADAY,COORDENADAX
-74.0640309999999,4.66713000000004,2836,Calle 77 con Carrera 23 ,Barrios Unidos,Choque simple,Automóvil particular (1) - Motocicleta (1) ,Sin lesionados,4.66713,-74.064031
-74.066661,4.67401200000006,2837,"NQS con Av Calle 80, sentido s→n",Barrios Unidos,Choque simple,Automóvil particular (1) - Taxi (1) ,Sin lesionados,4.674012,-74.066661
-74.1246199999999,4.57499900000005,2838,Diagonal 44 sur con Carrera 20 ,Rafael Uribe Uribe,Choque simple,Grúa (1) - Taxi (1) ,Sin lesionados,4.574999,-74.12462
-74.147372,4.63324100000006,2839,"Transversal 78C con Calle 6B, sentido s→n",Kennedy,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.633241,-74.147372
-74.15396,4.67698900000005,2840,"Av Centenario (Calle 13) con Carrera 111A, sentido occ→or",Fontibón,Fallecido en vía (980),Tractocamión (1) - Motociclista fallecido (1) ,Fallecido en vía (980),4.676989,-74.15396
-74.141876,4.66754900000007,2841,"Av Centenario (Calle 13) con Carrera 96B, sentido occ→or",Fontibón,Atropello,Motocicleta (1) - Peatón lesionado (1) ,Con lesionados,4.667549,-74.141876
-74.0956179999999,4.57013200000006,2842,"Calle 27 sur con Carrera 7, sentido occ→or",San Cristóbal,Choque con lesionado,Automóvil particular (1) - Acompañante lesionado (1) - Taxi (1),Con lesionados,4.570132,-74.095618
-74.122128,4.62938700000007,2843,"Av Carrera 68 con Av Américas, sentido s→n",Puente Aranda,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.629387,-74.122128
-74.137796,4.63080600000006,2844,"Av Américas con Av Boyacá, sentido or→occ",Kennedy,Choque simple,Camión (1) - Automóvil particular (1) ,Sin lesionados,4.630806,-74.137796
-74.0557479999999,4.66980500000005,2845,"Carrera 15 con Calle 85, sentido s→n",Chapinero,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.669805,-74.055748
-74.09038,4.68295000000006,2846,"Calle 72 con Carrera 69I, sentido occ→or",Engativá,Choque con lesionado,Camión (1) - Ciclista lesionado (1) ,Con lesionados,4.68295,-74.09038
-74.0902189999999,4.55200300000007,2847,"Transversal 6B este con Calle 37D sur, sentido s→n",San Cristóbal,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.552003,-74.090219
-74.038531,4.76028500000007,2848,"Calle 183 con Carrera 17, sentido or→occ",Usaquén,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.760285,-74.038531
-74.126234,4.69641000000007,2849,"Av José Celestino Mutis con Carrera 105, sentido occ→or",Engativá,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.69641,-74.126234
-74.061969,4.65159200000005,2850,"Carrera 11 con Calle 65, sentido s→n",Chapinero,Choque con lesionado,Vehículo de valores (1) - Motociclista lesionado (1) ,Con lesionados,4.651592,-74.061969
-74.126469,4.56686500000006,2851,"Carrera 13 con Av Caracas, sentido n→s",Rafael Uribe Uribe,Choque con lesionado,Motocarro / Mototriciclo (1) - Ciclista lesionado (1) ,Con lesionados,4.566865,-74.126469
-74.065288,4.62154800000008,2852,"Carrera 5A con Calle 34A, sentido n→s",Santa Fe,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.621548,-74.065288
-74.179187,4.64701100000002,2853,"Carrera 99B con Calle 42F sur, sentido s→n",Kennedy,Choque simple,Volqueta (1) - Taxi (1) ,Sin lesionados,4.647011,-74.179187
-74.171262,4.64257900000007,2854,"Calle 40 sur con Carrera 92, sentido or→occ",Kennedy,Choque con lesionado,Motociclista lesionado (1) - Patineta (1) ,Con lesionados,4.642579,-74.171262
-74.178456,4.61087900000007,2855,"Av Bosa con Av Agoberto Mejía, sentido occ→or",Bosa,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.610879,-74.178456
-74.137214,4.61306800000006,2856,"Carrera 69B con Calle 31 sur, sentido s→n",Kennedy,Choque simple,Automóvil particular (2)  ,Sin lesionados,4.613068,-74.137214
-74.070079,4.59207200000003,2857,"Av Circunvalar con Calle 9, sentido s→n",La Candelaria,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.592072,-74.070079
-74.056223,4.71588500000007,2858,"Calle 129 con Carrera 49, sentido occ→or",Suba,Choque simple,Camión (1) - Motocicleta (1) ,Sin lesionados,4.715885,-74.056223
-74.0585369999999,4.67844200000008,2859,"NQS con Calle 92, sentido n→s",Barrios Unidos,Choque simple,Bus SITP (1) - Automóvil particular (1) ,Sin lesionados,4.678442,-74.058537
-74.0588739999999,4.66330400000004,2860,"Carrera 15 con Calle 76, sentido s→n",Chapinero,Atropello,Automóvil particular (1) - Peatón lesionado (1) ,Con lesionados,4.663304,-74.058874
-74.099821,4.69606400000004,2861,"Calle 75 con Carrera 80A, sentido or→occ",Engativá,Choque objeto fijo con lesionado,Motociclista lesionado (1) - Cables (1) ,Con lesionados,4.696064,-74.099821
-74.06924,4.65195500000004,2862,"Carrera 19A con Calle 63A, sentido n→s",Barrios Unidos,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1) ,Con lesionados,4.651955,-74.06924
-74.0688929999999,4.60244400000005,2863,"Calle 18 con Carrera 3, sentido or→occ",Santa Fe,Atropello,Automóvil particular (1) - Peatón lesionado (1) ,Con lesionados,4.602444,-74.068893
-74.1620359999999,4.58825700000006,2864,"Carrera 70D con Calle 64 sur, sentido s→n",Ciudad Bolívar,Autolesionado,Motociclista lesionado (1)  ,Con lesionados,4.588257,-74.162036
-74.0450079999999,4.67839800000007,2865,"Calle 95 con Carrera 10, sentido or→occ",Chapinero,Choque simple,Camioneta (2)  ,Sin lesionados,4.678398,-74.045008
