X,Y,OBJECTID,DIRECCION_INCIDENTE,LOCALIDAD,TIPO_DE_INCIDENTE,TIPO_DE_ACTORES_VIALES_IMPLICAD,AFECTACIÓN_PERSONAS,FECHA_INCIDENTE__DD_MM_AAAA_,LATITUD,LONGITUD
-74.1691375,4.62510770000006,1851,Carrera 81G con Av Ciudad de Villavicencio,Kennedy,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.6251077,-74.1691375
-74.1693901,4.62569520000005,1852,Carrera 81H con Av Ciudad de Villavicencio,Kennedy,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.6256952,-74.1693901
-74.0670231,4.62139890000003,1853,"Av Carrera 7 con Calle 34, sentido s→n",Santa Fe,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6213989,-74.0670231
-74.0512634999999,4.65754580000004,1854,"Diagonal 75 con Carrera 4, sentido occ→or",Chapinero,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6575458,-74.0512635
-74.1232807,4.58005040000006,1855,Carrera 24 con Calle 41B sur,Rafael Uribe Uribe,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5800504,-74.1232807
-74.205418,4.62330490000005,1856,Carrera 89A con Calle 79 sur,Bosa,Choque con lesionado,Camión (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6233049,-74.205418
-74.0631744999999,4.63245420000004,1857,Carrera 6 con Calle 46,Chapinero,Choque con lesionado,Automóvil particular (2) - Conductor lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6324542,-74.0631745
-74.1034615,4.64435760000003,1858,Carrera 60 con Calle 23A,Teusaquillo,Choque con lesionado,Taxi (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6443576,-74.1034615
-74.0857455,4.56790480000006,1859,"Carrera 9 este con Calle 32A sur, sentido n→s",San Cristóbal,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5679048,-74.0857455
-74.0979093999999,4.67480120000005,1860,Calle 23A con Carrera 70,Fontibón,Choque con lesionado,Taxi (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6748012,-74.0979094
-74.1277617,4.58487980000007,1861,"Carrera 29 con Calle 44 sur, sentido s→n",Rafael Uribe Uribe,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5848798,-74.1277617
-74.0792857,4.60203250000006,1862,Calle 12 con Carrera 13,Santa Fe,Choque simple,Automóvil particular (1) - Taxi (1),Sin lesionados,2025/06/06 00:00:00+00,4.6020325,-74.0792857
-74.109178,4.62910180000006,1863,Av Centenario (Calle 13) con Carrera 112B,Fontibón,Choque con lesionado,Camión (1) - Bicitaxi (1) - Pasajero lesionado (3),Con lesionados,2025/06/06 00:00:00+00,4.6291018,-74.109178
-74.0903876,4.63433500000002,1864,"Av El Dorado (Calle 26) con Av Carrera 68, sentido occ→or",Fontibón,Choque con lesionado,Camión (1) - Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.634335,-74.0903876
-74.1884549,4.63145740000004,1865,Av Guayacanes con Calle 56 sur,Bosa,Choque con lesionado,Camioneta (1) - Automóvil particular (1),Con lesionados,2025/06/06 00:00:00+00,4.6314574,-74.1884549
-74.1211053,4.72134790000007,1866,"Av Calle 80 con Carrera 114, sentido occ→or",Engativá,"Material sólido en vía (arena, grava, otros)","Arena, grava, otros (1)",Sin lesionados,2025/06/06 00:00:00+00,4.7213479,-74.1211053
-74.097303,4.71259220000007,1867,Calle 90 con Carrera 90F,Engativá,Choque con lesionado,Automóvil particular (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7125922,-74.097303
-74.0438422999999,4.73673140000005,1868,Calle 153 con Carrera 19,Usaquén,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7367314,-74.0438423
-74.1065778,4.58897460000003,1869,"Av Calle 19 con Carrera 25, sentido or→occ",Los Mártires,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/06 00:00:00+00,4.5889746,-74.1065778
-74.197781,4.62932970000003,1870,Calle 69 sur con Carrera 92,Bosa,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6293297,-74.197781
-74.0871529999999,4.58612160000007,1871,Av Carrera 10 con Calle 3 sur,San Cristóbal,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5861216,-74.087153
-74.1126963999999,4.65612320000002,1872,Av La Esperanza con Carrera 72A,Fontibón,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6561232,-74.1126964
-74.0588324,4.66590860000002,1873,Calle 79 con Carrera 16A,Chapinero,Choque con lesionado,Automóvil particular (2) - Conductor lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6659086,-74.0588324
-74.0928428999999,4.71837090000002,1874,"Diagonal 127 bis con Carrera 91B, sentido or→occ",Suba,Atropello,Motocicleta (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7183709,-74.0928429
-74.17072,4.64162720000007,1875,Calle 40 sur con Carrera 91A,Kennedy,Choque simple,Motocicleta (1) - Bicicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.6416272,-74.17072
-74.0630504,4.73906820000008,1876,Calle 152B con Carrera 58C,Suba,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.7390682,-74.0630504
-74.074935,4.73191090000006,1877,"Calle 145 con Carrera 76, sentido occ→or",Suba,Autolesionado,Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7319109,-74.074935
-74.1791036,4.63279220000004,1878,Calle 49 sur con Carrera 88G,BOSA,Choque con lesionado,Motocicleta (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6327922,-74.1791036
-74.0225268,4.74698430000007,1879,"Av Carrera 7 con Calle 170, sentido n→s",Usaquén,Choque simple,Automóvil particular (2),Sin lesionados,2025/06/06 00:00:00+00,4.7469843,-74.0225268
-74.1351657,4.66027400000007,1880,"Av Ciudad de Cali con Calle 88, sentido n→s",Engativá,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.660274,-74.1351657
-74.0937847,4.58664150000004,1881,"Calle 10 con Av Caracas, sentido occ→or",Santa Fe,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.5866415,-74.0937847
-74.1237816,4.57452420000004,1882,Calle 45 con Carrera 19,Teusaquillo,Caida de ocupante,Bus SITP (1) - Pasajero lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5745242,-74.1237816
-74.0850975,4.67867920000003,1883,"Av Carrera 68 con Calle 73, sentido n→s",Engativá,Choque con lesionado,Automóvil particular (2) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6786792,-74.0850975
-74.071948,4.71090040000007,1884,Av Suba con Calle 127,Suba,Autolesionado,Motocicleta (1),Con lesionados,2025/06/06 00:00:00+00,4.7109004,-74.071948
-74.1874255,4.60024460000005,1885,Calle 66 sur con Carrera 78,Bosa,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6002446,-74.1874255
-74.0490677,4.76253400000007,1886,Carrera 51 con Calle 183,Suba,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.762534,-74.0490677
-74.1415004999999,4.67834910000005,1887,"Carrera 103 con Calle 22F, sentido n→s",Fontibón,Atropello,Bicitaxi (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6783491,-74.1415005
-74.1591134,4.56999270000006,1888,Carrera 45 con Calle 70 sur,Ciudad Bolívar,Choque con objeto fijo,Automóvil particular (1) - Vivienda (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.5699927,-74.1591134
-74.1463816999999,4.62402720000006,1889,Calle 26 sur con Carrera 75,Kennedy,Choque con lesionado,Taxi (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6240272,-74.1463817
-74.0787233,4.66026820000008,1890,Carrera 50 con Calle 64A,Barrios Unidos,Choque simple,Automóvil particular (1) - Bicitaxi (1),Sin lesionados,2025/06/06 00:00:00+00,4.6602682,-74.0787233
-74.1305498999999,4.66565750000007,1891,"Av Ciudad de Cali con Calle 22, sentido n→s",Fontibón,Choque con lesionado,Camión (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6656575,-74.1305499
-74.1794315,4.60483060000007,1892,"Carrera 78F con Calle 58Q sur, sentido s→n",Bosa,Choque con lesionado,Motocicleta (2) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6048306,-74.1794315
-74.1791036,4.63279220000004,1893,Calle 49 sur con Carrera 88G,Kennedy,Choque con lesionado,Motociclista lesionado (1) - Acompañante lesionado (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6327922,-74.1791036
-74.0325872,4.71770590000006,1894,Carrera 9 con Calle 140,Usaquén,Autolesionado,Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7177059,-74.0325872
-74.197781,4.62932970000003,1895,"Carrera 92 con Calle 69 sur, sentido n→s",Bosa,Choque con lesionado,Camión (1) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6293297,-74.197781
-74.0927495,4.63627140000006,1896,"Av El Dorado (Calle 26) con Carrera 45, sentido or→occ",Teusaquillo,Choque simple,Camión (1) - Automóvil particular (1),Sin lesionados,2025/06/06 00:00:00+00,4.6362714,-74.0927495
-74.1548685,4.59630640000006,1897,"Autopista Sur con Calle 61, sentido s→n",Tunjuelito,Choque con lesionado,Automóvil particular (2) - Motociclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.5963064,-74.1548685
-74.1026722999999,4.71285610000007,1898,Calle 86A con Carrera 95,Engativá,Explosión,,Sin lesionados,2025/06/06 00:00:00+00,4.7128561,-74.1026723
-74.1797409,4.59874500000006,1899,"Calle 63 sur con Carrera 77I, sentido s→n",Bosa,Choque con lesionado,Automóvil particular (1) - Motociclista lesionado (2),Con lesionados,2025/06/06 00:00:00+00,4.598745,-74.1797409
-74.0795803,4.59072820000006,1900,Av Carrera 7 con Av Comuneros,Santa Fe,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.5907282,-74.0795803
-74.1709643999999,4.62386200000003,1901,Calle 46 sur con Carrera 81G,Kennedy,Choque simple,Automóvil particular (1) - Motocicleta (1),Sin lesionados,2025/06/06 00:00:00+00,4.623862,-74.1709644
-74.0301034999999,4.76006950000004,1902,Calle 183 con Carrera 8C,Usaquén,Atropello,Automóvil particular (1) - Peatón lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.7600695,-74.0301035
-74.1786106,4.61087380000004,1903,"Av Agoberto Mejía con Calle 58C sur, sentido s→n",Bosa,Choque con lesionado,Camión (1) - Grúa (1) - Ciclista lesionado (1),Con lesionados,2025/06/06 00:00:00+00,4.6108738,-74.1786106
-74.0606554999999,4.63213660000002,1904,"Av Circunvalar con Calle 20, sentido n→s",Santa Fe,Choque objeto fijo con lesionado,Automóvil particular (1) - Barranco (1) - Conductor lesionado,Con lesionados,2025/06/06 00:00:00+00,4.6321366,-74.0606555
-74.0984849,4.61680190000004,1905,"Calle 12 con Carrera 78, sentido or→occ",Kennedy,Autolesionado,Motocicleta (1),Con lesionados,2025/06/06 00:00:00+00,4.6168019,-74.0984849
-74.09763,4.63787900000005,1906,Av La Esperanza con Carrera 50,Teusaquillo,Falla semafórica,Intersección semafórica (1),Sin lesionados,2025/06/06 00:00:00+00,4.637879,-74.09763
-74.0701425,4.61533190000006,1907,Av Carrera 13 con Calle 28,Santa Fe,Vehículo mal estacionado,Automóvil particular (6),Sin lesionados,2025/06/06 00:00:00+00,4.6153319,-74.0701425
-74.0999651,4.73591790000006,1908,Av Ciudad de Cali con Calle 132,Suba,Inundación / espejo de agua,Espejo de agua (1),Sin lesionados,2025/06/06 00:00:00+00,4.7359179,-74.0999651
